Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real,
30/01/2019 20:09:42.443,145612588,intervention,11211449,decay,11211449,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:42.545,146622001,intervention,12220862,decay,12220862,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:42.646,147633388,intervention,13232249,decay,13232249,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:42.747,148653191,intervention,14252052,decay,14252052,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:42.847,149652491,intervention,15251352,decay,15251352,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:42.949,150671896,intervention,16270757,decay,16270757,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:43.050,151670841,intervention,17269702,decay,17269702,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:43.153,152697811,intervention,18296672,decay,18296672,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:43.252,153697239,intervention,19296100,decay,19296100,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:43.355,154716659,intervention,20315520,decay,20315520,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:43.455,155726366,intervention,21325227,decay,21325227,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:43.557,156735506,intervention,22334367,decay,22334367,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:43.658,157755138,intervention,23353999,decay,23353999,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:43.759,158754551,intervention,24353412,decay,24353412,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:43.859,159773967,intervention,25372828,decay,25372828,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:43.959,160773491,intervention,26372352,decay,26372352,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:44.060,161782876,intervention,27381737,decay,27381737,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:44.163,162812252,intervention,28411113,decay,28411113,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:44.264,163809631,intervention,29408492,decay,29408492,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:44.365,164819038,intervention,30417899,decay,30417899,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:44.465,165828478,intervention,31427339,decay,31427339,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:44.567,166847886,intervention,32446747,decay,32446747,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:44.670,167877093,intervention,33475954,decay,33475954,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:44.769,168866524,intervention,34465385,decay,34465385,1,5,110,100,Q5,1,0,10.09385,
