Time stamp,Ticks,Phase,Time in Phase,Trial Number,Trial Time,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS realAudio Clip,
31/01/2019 17:41:50.675,636845533106754910,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.681,636845533106814871,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.687,636845533106874831,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.693,636845533106934797,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.699,636845533106994773,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.704,636845533107044971,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.710,636845533107104708,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.715,636845533107154714,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.721,636845533107214643,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.727,636845533107274607,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.732,636845533107324790,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.738,636845533107384791,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.744,636845533107444508,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.749,636845533107494727,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.755,636845533107554558,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.760,636845533107604627,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.766,636845533107664636,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.772,636845533107724558,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.777,636845533107774579,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.783,636845533107834506,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.788,636845533107884507,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.794,636845533107944225,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.800,636845533108004459,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.805,636845533108054462,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.811,636845533108114370,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.817,636845533108174093,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.822,636845533108224312,Preparation,0.7961698,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.828,636845533108284038,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
