Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real
26/01/2019 15:49:19.079,1.124705,intervention,0.1247053,decay,0.1247053,0.96,4,107.05,96,Q5,1920 x 1080 @ 60Hz,87,27.68994
26/01/2019 15:49:19.081,1.126708,intervention,0.126708,decay,0.126708,0.96,4,107.05,96,Q5,1920 x 1080 @ 60Hz,87,27.68994
26/01/2019 15:49:19.112,1.157421,intervention,0.1574211,decay,0.1574211,0.96,4,107.05,96,Q5,1920 x 1080 @ 60Hz,87,27.56408
26/01/2019 15:49:19.114,1.159927,intervention,0.1599274,decay,0.1599274,0.96,4,107.05,96,Q5,1920 x 1080 @ 60Hz,87,27.56408
26/01/2019 15:49:19.116,1.161873,intervention,0.1618729,decay,0.1618729,0.95,4,106.31,95,Q5,1920 x 1080 @ 60Hz,87,27.56408
26/01/2019 15:49:19.119,1.16394,intervention,0.1639404,decay,0.1639404,0.95,4,106.31,95,Q5,1920 x 1080 @ 60Hz,87,27.56408
26/01/2019 15:49:19.149,1.193387,intervention,0.193387,decay,0.193387,0.95,4,106.31,95,Q5,1920 x 1080 @ 60Hz,87,27.76867
26/01/2019 15:49:19.151,1.195623,intervention,0.1956234,decay,0.1956234,0.95,4,106.31,95,Q5,1920 x 1080 @ 60Hz,87,27.76867
26/01/2019 15:49:19.153,1.197712,intervention,0.1977119,decay,0.1977119,0.95,4,106.31,95,Q5,1920 x 1080 @ 60Hz,87,27.76867
26/01/2019 15:49:19.155,1.199642,intervention,0.1996422,decay,0.1996422,0.95,4,106.31,95,Q5,1920 x 1080 @ 60Hz,87,27.76867
26/01/2019 15:49:19.184,1.228867,intervention,0.2288666,decay,0.2288666,0.94,4,105.57,94,Q5,1920 x 1080 @ 60Hz,86,28.30872
26/01/2019 15:49:19.186,1.231059,intervention,0.2310591,decay,0.2310591,0.94,4,105.57,94,Q5,1920 x 1080 @ 60Hz,86,28.30872
26/01/2019 15:49:19.188,1.233075,intervention,0.2330751,decay,0.2330751,0.94,4,105.57,94,Q5,1920 x 1080 @ 60Hz,86,28.30872
26/01/2019 15:49:19.218,1.262516,intervention,0.262516,decay,0.262516,0.93,4,104.84,93,Q5,1920 x 1080 @ 60Hz,85,28.82958
26/01/2019 15:49:19.220,1.264707,intervention,0.2647066,decay,0.2647066,0.93,4,104.84,93,Q5,1920 x 1080 @ 60Hz,85,28.82958
26/01/2019 15:49:19.222,1.26679,intervention,0.2667904,decay,0.2667904,0.93,4,104.84,93,Q5,1920 x 1080 @ 60Hz,85,28.82958
26/01/2019 15:49:19.262,1.306554,intervention,0.3065538,decay,0.3065538,0.92,4,104.1,92,Q5,1920 x 1080 @ 60Hz,85,29.03997
26/01/2019 15:49:19.264,1.309143,intervention,0.3091431,decay,0.3091431,0.92,4,104.1,92,Q5,1920 x 1080 @ 60Hz,85,29.03997
26/01/2019 15:49:19.267,1.311501,intervention,0.3115005,decay,0.3115005,0.92,4,104.1,92,Q5,1920 x 1080 @ 60Hz,85,29.03997
26/01/2019 15:49:19.269,1.313805,intervention,0.3138046,decay,0.3138046,0.92,4,104.1,92,Q5,1920 x 1080 @ 60Hz,85,29.03997
26/01/2019 15:49:19.271,1.316064,intervention,0.3160639,decay,0.3160639,0.92,4,104.1,92,Q5,1920 x 1080 @ 60Hz,85,29.03997
26/01/2019 15:49:19.301,1.346271,intervention,0.3462706,decay,0.3462706,0.91,4,103.36,91,Q5,1920 x 1080 @ 60Hz,84,22.34877
26/01/2019 15:49:19.304,1.348507,intervention,0.3485069,decay,0.3485069,0.91,4,103.36,91,Q5,1920 x 1080 @ 60Hz,84,22.34877
26/01/2019 15:49:19.306,1.350476,intervention,0.3504763,decay,0.3504763,0.91,4,103.36,91,Q5,1920 x 1080 @ 60Hz,84,22.34877
26/01/2019 15:49:19.308,1.35254,intervention,0.35254,decay,0.35254,0.91,4,103.36,91,Q5,1920 x 1080 @ 60Hz,84,22.34877
26/01/2019 15:49:19.338,1.382509,intervention,0.3825092,decay,0.3825092,0.9,4,102.62,90,Q5,1920 x 1080 @ 60Hz,84,25.69868
26/01/2019 15:49:19.340,1.384688,intervention,0.3846884,decay,0.3846884,0.9,4,102.62,90,Q5,1920 x 1080 @ 60Hz,84,25.69868
26/01/2019 15:49:19.342,1.386781,intervention,0.3867807,decay,0.3867807,0.9,4,102.62,90,Q5,1920 x 1080 @ 60Hz,84,25.69868
26/01/2019 15:49:19.372,1.416699,intervention,0.4166994,decay,0.4166994,0.89,4,101.89,89,Q5,1920 x 1080 @ 60Hz,83,27.85484
26/01/2019 15:49:19.374,1.418935,intervention,0.4189348,decay,0.4189348,0.89,4,101.89,89,Q5,1920 x 1080 @ 60Hz,83,27.85484
26/01/2019 15:49:19.376,1.421055,intervention,0.4210548,decay,0.4210548,0.89,4,101.89,89,Q5,1920 x 1080 @ 60Hz,83,27.85484
26/01/2019 15:49:19.378,1.423042,intervention,0.4230423,decay,0.4230423,0.89,4,101.89,89,Q5,1920 x 1080 @ 60Hz,83,27.85484
26/01/2019 15:49:19.408,1.452348,intervention,0.4523478,decay,0.4523478,0.88,4,101.15,88,Q5,1920 x 1080 @ 60Hz,82,28.29159
26/01/2019 15:49:19.410,1.454632,intervention,0.4546318,decay,0.4546318,0.88,4,101.15,88,Q5,1920 x 1080 @ 60Hz,82,28.29159
26/01/2019 15:49:19.412,1.456698,intervention,0.4566984,decay,0.4566984,0.88,4,101.15,88,Q5,1920 x 1080 @ 60Hz,82,28.29159
